telecommuting,has_company_logo,has_questions,word_count,unique_word_count,lexical_diversity,flesch_score,dale_chall_score,has_company_info,has_benefits,salary_explicit,log_company_credibility,location_clean_enc,required_experience_clean_enc,employment_type_clean_enc,industry_clean_enc,function_clean_enc,fraudulent
0,1,0,163.0,139.0,0.852760736196319,-22.565967741935452,15.116054838709678,1,0,1,3.7376696182833684,2150,5,0,83,23,0
0,1,0,334.0,221.0,0.6616766467065869,41.551532258064555,11.790945161290322,1,1,1,3.2188758248682006,931,0,2,75,8,0
0,1,0,157.0,111.0,0.7070063694267515,13.950333333333361,11.094966666666666,1,0,1,5.14166355650266,1592,7,3,83,24,0
0,1,0,352.0,257.0,0.7301136363636364,-15.455135869565197,13.556079710144928,1,1,1,3.8712010109078907,1437,6,2,22,32,0
0,1,1,197.0,159.0,0.8071065989847716,-54.454999999999956,16.28285,1,1,1,4.110873864173311,1477,6,2,50,17,0
0,0,0,331.0,247.0,0.7462235649546828,12.57000000000005,12.590316666666666,0,0,1,8.104401307921613,1749,7,3,83,24,0
0,1,1,90.0,81.0,0.9,-0.9252631578947046,13.11212105263158,1,1,1,1.3862943611198906,188,6,2,90,21,0
0,1,1,273.0,224.0,0.8205128205128205,45.1436005434783,10.385854347826086,1,1,1,2.8903717578961645,1312,7,3,83,24,0
0,1,1,52.0,44.0,0.8461538461538461,-136.63999999999996,13.3585,1,0,1,1.791759469228055,1503,1,2,57,24,0
0,1,0,187.0,166.0,0.8877005347593583,-20.73150000000001,13.602033333333333,1,0,1,6.354370040797351,1139,3,4,38,8,0
0,0,0,573.0,198.0,0.34554973821989526,-4.490453093232645,15.086855039209992,0,1,1,8.104401307921613,2030,6,2,57,19,0
0,1,0,189.0,161.0,0.8518518518518519,43.4797368421053,10.467733082706767,1,1,1,4.8283137373023015,519,7,3,83,24,0
0,1,0,233.0,162.0,0.6952789699570815,5.71734154929581,13.486806103286385,1,0,1,6.354370040797351,1422,1,2,72,19,0
0,1,1,140.0,111.0,0.7928571428571428,62.137703488372125,8.821017829457364,1,0,1,2.70805020110221,1495,0,2,34,0,0
0,1,0,136.0,106.0,0.7794117647058824,19.745625000000018,12.349707092198582,1,1,1,2.995732273553991,47,1,2,60,32,0
0,1,1,329.0,240.0,0.729483282674772,37.750211158696175,11.415164572924102,1,1,1,1.6094379124341003,1057,4,2,36,32,0
